Red Bull Racing,Макс Ферстаппен,Спа-Франкоршам,28-08-2022 15:00,1,25
Mercedes AMG Petronas,Льюис Хэмилтон,Сильверстоун,03-07-2022 15:00,2,18
Ferrari,Шарль Леклер,Монако,29-05-2022 15:00,3,15
McLaren,Ландо Норрис,Монца,11-09-2022 15:00,4,12
AlphaTauri,Пьер Гасли,Будапешт,01-08-2022 15:00,5,10
Aston Martin,Себастьян Феттель,Сочи,26-09-2022 15:00,6,8
Alpine,Фернандо Алонсо,Барселона,22-05-2022 15:00,7,6
Williams,Джордж Рассел,Зандворт,04-09-2022 15:00,8,4
Haas,Мик Шумахер,Бахрейн,12-03-2022 15:00,9,2
Alfa Romeo,Валттери Боттас,Имола,24-04-2022 15:00,10,1
Red Bull Racing,Серхио Перес,Мехико,30-10-2022 15:00,1,25
Mercedes AMG Petronas,Джордж Рассел,Интерлагос,13-11-2022 15:00,2,18
Ferrari,Карлос Сайнс,Сингапур,02-10-2022 15:00,3,15
McLaren,Даниэль Риккардо,Шанхай,10-04-2022 15:00,4,12
AlphaTauri,Юки Цунода,Сузука,09-10-2022 15:00,5,10
Aston Martin,Лэнс Стролл,Баку,12-06-2022 15:00,6,8
Alpine,Эстебан Окон,Монреаль,19-06-2022 15:00,7,6
Williams,Николас Латифи,Абу-Даби,20-11-2022 15:00,8,4
Haas,Кевин Магнуссен,Остин,23-10-2022 15:00,9,2
Alfa Romeo,Гуаньюй Чжоу,Мельбурн,10-04-2022 15:00,10,1
McLaren,Льюис Хэмилтон,Остин,08-07-2012 15:00,8,4
